image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
yeast_cyano_2.czi,combined,watershed,4,427,197.73302107728338,140.50117096018735,114.22482435597189,1.6088992974238876,0,0.0,1.0,True,False,False,0,56.75823689898192
yeast_cyano_2.czi,combined,watershed,5,209,505.35406698564594,109.0909090909091,101.37320574162679,7.971291866028708,0,0.0,1.0,True,False,False,0,97.35595921392272
yeast_cyano_2.czi,combined,watershed,6,306,366.42483660130716,146.73529411764707,109.55228758169935,10.15359477124183,59,0.19281045751633988,1.0,True,True,True,1,1.3645284046847432
yeast_cyano_2.czi,combined,watershed,7,343,215.07871720116617,193.23615160349854,103.44897959183673,0.8746355685131195,0,0.0,1.0,False,False,False,0,29.678071273808015
yeast_cyano_2.czi,combined,watershed,8,267,303.7228464419476,426.4194756554307,77.31460674157303,29.84269662921348,165,0.6179775280898876,1.0,True,True,True,1,0.28623486851923535
yeast_cyano_2.czi,combined,watershed,9,301,307.49169435215947,60.31229235880399,97.76744186046511,11.913621262458472,63,0.20930232558139536,1.0,True,True,True,2,1.4277848831698126
yeast_cyano_2.czi,combined,watershed,10,251,135.92828685258965,80.45019920318725,100.24302788844622,14.796812749003983,85,0.3386454183266932,1.0,True,True,True,1,0.5808760080262068
yeast_cyano_2.czi,combined,watershed,11,452,353.2411504424779,265.2433628318584,139.43584070796462,5.732300884955753,28,0.061946902654867256,1.0,True,True,True,0,9.579855675028567
yeast_cyano_2.czi,combined,watershed,12,403,90.39950372208436,311.79900744416875,145.2332506203474,2.119106699751861,10,0.02481389578163772,1.0,True,True,True,0,10.996695450567291
yeast_cyano_2.czi,combined,watershed,13,113,112.53097345132744,506.62831858407077,140.1946902654867,5.371681415929204,4,0.035398230088495575,1.0,True,False,False,0,10.693092697140228
yeast_cyano_2.czi,combined,watershed,14,105,126.81904761904762,507.3809523809524,134.47619047619048,9.771428571428572,16,0.1523809523809524,1.0,True,True,True,0,5.931010945426236
yeast_cyano_2.czi,combined,watershed,15,156,75.33974358974359,504.5897435897436,94.12179487179488,4.7756410256410255,0,0.0,1.0,True,False,False,0,42.02301722167916
yeast_cyano_2.czi,combined,watershed,16,173,75.10982658959537,325.4971098265896,160.45664739884393,2.2485549132947975,3,0.017341040462427744,1.0,True,False,False,0,10.650818341026447
yeast_cyano_2.czi,combined,watershed,17,202,115.60891089108911,493.9504950495049,146.70792079207922,4.108910891089109,8,0.039603960396039604,1.0,True,True,True,1,2.9781982884109266
yeast_cyano_2.czi,combined,watershed,18,149,71.48993288590604,311.63758389261744,150.8523489932886,4.483221476510067,17,0.11409395973154363,1.0,True,True,True,0,9.950550539275941
